phrank_style,resnik_style,lirical_style,sapbert,sapbert_name,bm25,ic,hybrid_dense_bm25,hybrid_dense_ic,hybrid,hybrid_tuned,case_id,subset,len_bin,single_gold
1032,1032,645,2168,154,1563,574,2165,994,1173,920,RAMEDIS_0,RAMEDIS,1-6,True
1762,1659,841,797,418,254,156,419,279,251,212,RAMEDIS_1,RAMEDIS,1-6,True
4,21,11,158,76,91,14,89,20,21,30,RAMEDIS_2,RAMEDIS,1-6,True
59,38,28,774,527,521,294,706,501,535,426,RAMEDIS_3,RAMEDIS,7-9,True
207,37,14,23,23,791,4,57,3,15,21,RAMEDIS_4,RAMEDIS,15+,True
2,64,53,16,10,366,13,38,1,12,44,RAMEDIS_5,RAMEDIS,15+,True
9,7,2,48,53,50,37,27,11,12,46,RAMEDIS_6,RAMEDIS,1-6,True
1,1,2,206,185,35,106,45,113,33,46,RAMEDIS_7,RAMEDIS,10-14,True
22,33,52,12,2,40,18,13,10,13,20,RAMEDIS_8,RAMEDIS,15+,True
10,24,20,12,9,15,15,4,5,3,9,RAMEDIS_9,RAMEDIS,10-14,True
88,57,122,1490,1153,545,549,887,916,793,582,RAMEDIS_10,RAMEDIS,10-14,True
1,1,1,210,74,33,2,62,25,21,10,RAMEDIS_11,RAMEDIS,15+,True
2,2,4,29,20,8,22,11,14,10,9,RAMEDIS_12,RAMEDIS,1-6,True
2147,1524,807,1365,331,2803,722,2125,1034,1388,1409,RAMEDIS_13,RAMEDIS,7-9,True
2,2,1,13,1,10,4,1,2,1,3,RAMEDIS_14,RAMEDIS,10-14,True
97,174,78,8,5,97,18,16,4,10,38,RAMEDIS_16,RAMEDIS,10-14,True
71,89,41,1332,64,857,28,1152,89,134,78,RAMEDIS_17,RAMEDIS,10-14,True
602,662,324,379,37,166,140,225,208,182,165,RAMEDIS_18,RAMEDIS,10-14,True
1001,1044,1656,19,140,716,341,56,43,84,538,RAMEDIS_19,RAMEDIS,10-14,True
4,115,143,81,50,64,24,42,13,19,37,RAMEDIS_21,RAMEDIS,1-6,True
30,81,113,13,3,61,25,21,13,18,37,RAMEDIS_22,RAMEDIS,15+,True
4,102,77,147,88,117,14,100,19,22,31,RAMEDIS_23,RAMEDIS,7-9,True
1150,1470,1267,1623,867,1345,610,1578,1014,1146,978,RAMEDIS_24,RAMEDIS,7-9,True
48,8,4,10,13,1218,5,41,2,11,21,RAMEDIS_25,RAMEDIS,10-14,True
151,309,403,48,3,69,292,38,88,50,105,RAMEDIS_26,RAMEDIS,10-14,True
17,1,1,63,59,6,17,19,26,12,8,RAMEDIS_27,RAMEDIS,7-9,True
10,21,13,181,79,405,33,255,62,95,89,RAMEDIS_28,RAMEDIS,10-14,True
3,114,103,34,31,246,15,44,6,12,39,RAMEDIS_29,RAMEDIS,10-14,True
4,5,6,123,213,492,27,215,24,50,74,RAMEDIS_30,RAMEDIS,7-9,True
2,99,66,81,50,139,10,73,5,10,23,RAMEDIS_31,RAMEDIS,10-14,True
17,9,3,17,15,286,22,46,4,14,61,RAMEDIS_32,RAMEDIS,10-14,True
216,163,93,1985,132,368,40,727,117,143,91,RAMEDIS_33,RAMEDIS,1-6,True
30,26,20,102,184,227,28,119,49,60,68,RAMEDIS_34,RAMEDIS,15+,True
4,67,36,97,50,113,14,69,14,18,29,RAMEDIS_35,RAMEDIS,1-6,True
70,4,3,188,181,17,63,36,80,41,26,RAMEDIS_36,RAMEDIS,1-6,True
27,40,43,79,28,120,103,67,60,57,116,RAMEDIS_37,RAMEDIS,10-14,True
2,7,8,108,68,118,14,81,18,18,32,RAMEDIS_39,RAMEDIS,1-6,True
31,42,33,7,8,3152,8,48,2,20,29,RAMEDIS_40,RAMEDIS,1-6,True
588,943,416,965,1903,1119,47,1126,110,176,120,RAMEDIS_41,RAMEDIS,7-9,True
11,31,40,14,10,4,2,4,3,3,3,RAMEDIS_42,RAMEDIS,15+,True
1,12,8,8,2,8,6,3,2,2,6,RAMEDIS_43,RAMEDIS,7-9,True
1188,672,402,3,1,3754,193,42,32,56,505,RAMEDIS_44,RAMEDIS,1-6,True
9,42,24,43,17,184,17,48,12,14,46,RAMEDIS_45,RAMEDIS,7-9,True
5,10,7,16,7,45,13,4,4,3,19,RAMEDIS_46,RAMEDIS,10-14,True
39,42,32,664,25,47,27,104,75,51,39,RAMEDIS_47,RAMEDIS,10-14,True
142,105,124,310,16,87,180,131,202,132,113,RAMEDIS_49,RAMEDIS,1-6,True
12,14,4,25,20,30,8,5,5,4,11,RAMEDIS_50,RAMEDIS,1-6,True
42,16,35,1399,1649,119,43,252,97,86,76,RAMEDIS_51,RAMEDIS,7-9,True
2,6,5,85,54,19,12,9,10,5,12,RAMEDIS_52,RAMEDIS,1-6,True
13,30,16,229,172,77,23,101,38,32,37,RAMEDIS_53,RAMEDIS,7-9,True
1,6,1,359,264,218,49,295,92,100,98,RAMEDIS_54,RAMEDIS,15+,True
21,21,41,11,2,23,23,9,9,13,21,RAMEDIS_55,RAMEDIS,10-14,True
3,14,19,106,45,176,14,120,13,22,41,RAMEDIS_56,RAMEDIS,7-9,True
1,40,39,158,88,165,13,152,14,25,33,RAMEDIS_57,RAMEDIS,10-14,True
3384,2487,1913,1664,634,3764,2912,2558,2370,2790,3484,RAMEDIS_58,RAMEDIS,15+,True
156,131,180,145,27,850,280,284,190,280,521,RAMEDIS_59,RAMEDIS,1-6,True
2,21,10,176,129,165,14,160,17,31,34,RAMEDIS_60,RAMEDIS,1-6,True
857,1150,1100,1015,965,3510,811,1773,1024,1379,1514,RAMEDIS_61,RAMEDIS,1-6,True
1,52,29,90,72,82,11,42,11,13,23,RAMEDIS_62,RAMEDIS,7-9,True
1,3,1,146,139,76,9,76,7,14,22,RAMEDIS_63,RAMEDIS,15+,True
2654,2875,2469,194,1019,485,1957,301,436,481,766,RAMEDIS_64,RAMEDIS,7-9,True
9,99,89,15,7,142,13,9,2,3,31,RAMEDIS_65,RAMEDIS,10-14,True
12,82,38,101,27,271,36,140,38,48,84,RAMEDIS_66,RAMEDIS,7-9,True
2,3,5,292,167,8,12,15,27,10,7,RAMEDIS_68,RAMEDIS,1-6,True
471,1080,674,470,1195,813,37,639,83,153,111,RAMEDIS_70,RAMEDIS,10-14,True
1239,1172,1137,390,391,325,623,375,508,453,448,RAMEDIS_71,RAMEDIS,1-6,True
26,124,200,1,1,484,42,15,2,10,110,RAMEDIS_72,RAMEDIS,10-14,True
9,9,6,46,18,40,16,17,17,7,21,RAMEDIS_73,RAMEDIS,7-9,True
23,141,239,58,49,156,63,66,35,47,113,RAMEDIS_74,RAMEDIS,7-9,True
2,2,1,1,1,1,5,1,1,1,1,RAMEDIS_75,RAMEDIS,1-6,True
19,7,4,15,1,9,18,5,7,4,12,RAMEDIS_76,RAMEDIS,7-9,True
1,98,52,121,59,65,14,58,18,19,25,RAMEDIS_77,RAMEDIS,1-6,True
256,510,148,895,96,27,17,74,65,30,16,RAMEDIS_78,RAMEDIS,15+,True
36,60,80,1828,1495,422,300,765,582,541,371,RAMEDIS_79,RAMEDIS,10-14,True
11,2,1,9,1,14,19,3,3,2,9,RAMEDIS_80,RAMEDIS,10-14,True
6,7,5,82,133,3,3,13,13,7,2,RAMEDIS_81,RAMEDIS,10-14,True
3,5,2,91,110,72,25,55,7,11,38,RAMEDIS_82,RAMEDIS,15+,True
540,524,287,1588,590,1019,70,1380,182,266,181,RAMEDIS_83,RAMEDIS,10-14,True
14,35,27,50,18,54,14,30,20,21,25,RAMEDIS_84,RAMEDIS,10-14,True
99,102,58,7,7,774,22,40,5,26,64,RAMEDIS_85,RAMEDIS,10-14,True
2526,1869,973,270,285,1103,319,476,283,403,608,RAMEDIS_86,RAMEDIS,7-9,True
19,45,44,23,1,47,57,13,10,13,43,RAMEDIS_87,RAMEDIS,15+,True
6,23,16,6,6,6,22,3,8,3,8,RAMEDIS_88,RAMEDIS,7-9,True
11,24,16,464,346,772,16,639,49,92,53,RAMEDIS_89,RAMEDIS,10-14,True
88,177,79,35,43,1135,4,91,6,23,18,RAMEDIS_90,RAMEDIS,10-14,True
14,62,73,287,208,883,31,475,59,107,81,RAMEDIS_91,RAMEDIS,10-14,True
1,2,1,164,127,59,9,59,10,12,17,RAMEDIS_92,RAMEDIS,15+,True
252,103,183,345,48,885,169,527,209,308,349,RAMEDIS_93,RAMEDIS,15+,True
20,80,70,23,17,57,40,15,20,18,49,RAMEDIS_95,RAMEDIS,7-9,True
63,63,48,404,456,327,48,376,84,112,103,RAMEDIS_96,RAMEDIS,1-6,True
1,91,115,14,14,14,8,3,3,3,10,RAMEDIS_97,RAMEDIS,7-9,True
43,11,2,17,11,1017,1,71,2,16,13,RAMEDIS_98,RAMEDIS,15+,True
284,151,65,16,29,1168,19,55,5,25,60,RAMEDIS_99,RAMEDIS,15+,True
1687,1154,548,337,4,285,599,330,457,396,381,RAMEDIS_100,RAMEDIS,1-6,True
1603,1574,1163,202,179,527,671,294,325,381,629,RAMEDIS_101,RAMEDIS,1-6,True
5,9,5,16,4,2,1,4,4,3,1,RAMEDIS_102,RAMEDIS,1-6,True
5,1,1,14,11,2,2,5,4,2,2,RAMEDIS_103,RAMEDIS,15+,True
2970,3309,3277,3760,3815,761,3078,1532,3723,1987,1159,RAMEDIS_104,RAMEDIS,1-6,True
150,92,175,172,14,349,160,235,142,175,249,RAMEDIS_105,RAMEDIS,15+,True
8,7,6,151,80,200,16,156,36,39,44,RAMEDIS_106,RAMEDIS,1-6,True
2,94,73,44,27,110,12,28,7,9,29,RAMEDIS_107,RAMEDIS,10-14,True
4,3,4,1,3,5,6,1,1,1,2,RAMEDIS_108,RAMEDIS,1-6,True
1466,1930,1221,1949,49,316,397,608,723,543,364,RAMEDIS_109,RAMEDIS,7-9,True
17,7,163,1072,942,529,530,778,788,702,541,RAMEDIS_110,RAMEDIS,7-9,True
4,22,11,196,93,120,14,126,25,27,32,RAMEDIS_111,RAMEDIS,1-6,True
1516,256,134,1177,1015,1525,257,1468,475,672,570,RAMEDIS_112,RAMEDIS,15+,True
7,6,5,170,15,40,36,63,45,30,36,RAMEDIS_113,RAMEDIS,1-6,True
4,2,2,37,66,2,3,4,4,2,2,RAMEDIS_114,RAMEDIS,10-14,True
281,120,139,21,3,115,491,15,50,38,180,RAMEDIS_115,RAMEDIS,15+,True
