tier,system,n,R@1,R@3,R@5,R@10
T0,retrieval,100,0.85,0.96,0.97,0.98
T0,fuse_borda,100,0.47,0.73,0.82,0.92
T0,fuse_rrf,100,0.47,0.72,0.82,0.92
T0,oracle_best,100,0.6,0.81,0.9,0.98
T0,llm_A,100,0.44,0.65,0.77,0.9
T0,llm_B,100,0.39,0.63,0.76,0.91
T0,llm_C,100,0.28,0.53,0.67,0.9
T1,retrieval,100,0.67,0.82,0.87,0.9
T1,fuse_borda,100,0.25,0.47,0.63,0.82
T1,fuse_rrf,100,0.27,0.48,0.65,0.83
T1,oracle_best,100,0.44,0.69,0.8,0.9
T1,llm_A,100,0.26,0.49,0.6,0.75
T1,llm_B,100,0.25,0.52,0.62,0.8
T1,llm_C,100,0.27,0.41,0.55,0.72
T2,retrieval,100,0.86,0.94,0.97,0.99
T2,fuse_borda,100,0.29,0.56,0.75,0.89
T2,fuse_rrf,100,0.29,0.58,0.74,0.9
T2,oracle_best,100,0.4,0.76,0.85,0.95
T2,llm_A,100,0.34,0.59,0.73,0.86
T2,llm_B,100,0.18,0.54,0.7,0.86
T2,llm_C,100,0.16,0.35,0.48,0.72
T3,retrieval,100,0.37,0.5,0.59,0.66
T3,fuse_borda,100,0.15,0.36,0.45,0.6
T3,fuse_rrf,100,0.12,0.37,0.44,0.62
T3,oracle_best,100,0.23,0.48,0.6,0.71
T3,llm_A,100,0.15,0.33,0.49,0.58
T3,llm_B,100,0.09,0.31,0.38,0.6
T3,llm_C,100,0.08,0.23,0.34,0.53
