tier,coverage,n_answered,Recall@5,CI_low,CI_high,abstain_thresh
T0,1.0,100,0.82,0.733,0.883,0.484
T0,0.8,80,0.838,0.742,0.903,0.351
T0,0.6,60,0.883,0.778,0.942,0.302
T0,0.4,40,0.85,0.709,0.929,0.267
T1,1.0,100,0.65,0.553,0.736,0.467
T1,0.8,80,0.688,0.579,0.778,0.356
T1,0.6,60,0.683,0.558,0.787,0.318
T1,0.4,40,0.625,0.47,0.758,0.271
T2,1.0,100,0.74,0.646,0.816,0.513
T2,0.8,80,0.75,0.645,0.832,0.393
T2,0.6,60,0.733,0.61,0.829,0.342
T2,0.4,40,0.75,0.598,0.858,0.3
T3,1.0,100,0.44,0.347,0.538,0.489
T3,0.8,80,0.487,0.381,0.595,0.387
T3,0.6,60,0.5,0.377,0.623,0.32
T3,0.4,40,0.55,0.398,0.693,0.284
