tier,method,R@1,R@3,R@5,R@10,R@25
T0,sapbert_name,0.44,0.55,0.61,0.7,0.8
T0,sapbert,0.46,0.57,0.67,0.75,0.84
T0,bm25,0.9,0.95,0.97,0.99,0.99
T0,ic,0.65,0.81,0.84,0.88,0.92
T0,hybrid_dense_bm25,0.68,0.83,0.88,0.93,0.98
T0,hybrid_dense_ic,0.69,0.8,0.84,0.9,0.94
T0,hybrid,0.77,0.87,0.93,0.95,0.98
T0,hybrid_tuned,0.85,0.96,0.97,0.98,0.99
T0,phrank_style,0.92,0.99,1.0,1.0,1.0
T0,resnik_style,0.87,1.0,1.0,1.0,1.0
T0,lirical_style,0.9,0.96,0.98,1.0,1.0
T1,sapbert_name,0.23,0.36,0.42,0.46,0.58
T1,sapbert,0.29,0.37,0.42,0.5,0.59
T1,bm25,0.68,0.84,0.87,0.9,0.97
T1,ic,0.36,0.56,0.64,0.72,0.8
T1,hybrid_dense_bm25,0.44,0.58,0.66,0.78,0.9
T1,hybrid_dense_ic,0.39,0.51,0.55,0.71,0.81
T1,hybrid,0.51,0.67,0.76,0.85,0.91
T1,hybrid_tuned,0.67,0.82,0.87,0.9,0.96
T1,phrank_style,0.65,0.85,0.9,0.94,0.98
T1,resnik_style,0.62,0.81,0.87,0.91,0.97
T1,lirical_style,0.71,0.82,0.9,0.94,0.96
T2,sapbert_name,0.28,0.44,0.48,0.53,0.68
T2,sapbert,0.35,0.48,0.55,0.62,0.7
T2,bm25,0.88,0.95,0.96,0.97,1.0
T2,ic,0.58,0.76,0.79,0.84,0.91
T2,hybrid_dense_bm25,0.56,0.71,0.78,0.89,0.97
T2,hybrid_dense_ic,0.59,0.72,0.77,0.83,0.94
T2,hybrid,0.68,0.83,0.9,0.96,0.99
T2,hybrid_tuned,0.86,0.94,0.97,0.99,0.99
T2,phrank_style,0.68,0.83,0.87,0.93,0.97
T2,resnik_style,0.77,0.92,0.93,0.96,0.98
T2,lirical_style,0.84,0.91,0.95,0.97,0.99
T3,sapbert_name,0.09,0.15,0.2,0.24,0.32
T3,sapbert,0.09,0.16,0.21,0.23,0.31
T3,bm25,0.29,0.47,0.52,0.58,0.67
T3,ic,0.22,0.4,0.46,0.56,0.64
T3,hybrid_dense_bm25,0.22,0.29,0.36,0.46,0.69
T3,hybrid_dense_ic,0.18,0.31,0.37,0.45,0.65
T3,hybrid,0.27,0.44,0.49,0.65,0.76
T3,hybrid_tuned,0.37,0.5,0.59,0.66,0.79
T3,phrank_style,0.35,0.48,0.55,0.6,0.7
T3,resnik_style,0.36,0.47,0.53,0.63,0.74
T3,lirical_style,0.37,0.6,0.66,0.73,0.81
